Accession,Description,Ratio,P-Value
Q8DU40,Uncharacterized protein OS,-0.213,0.012
Q8DVQ5,Uncharacterized protein OS,-0.215,0.034
Q8DSK8,Uncharacterized protein OS,-0.251,0.038
Q8DTW4,Uncharacterized protein OS,-0.303,0.003
Q8DRT6,Uncharacterized protein OS,-0.349,0.035
Q8DTZ9,Uncharacterized protein OS,-0.43,0.04
Q8DV06,Uncharacterized protein OS,-0.589,0.04
Q8DVP5,Uncharacterized protein OS,-0.6,0.047
Q8DUR0,Uncharacterized protein OS,-0.621,0.015
Q8DUS7,Uncharacterized protein OS,-0.744,0.045
Q8DT86,Uncharacterized protein OS,-0.761,0.028
Q8DVH1,Uncharacterized protein OS,-0.774,0.024
Q8DVS4,Uncharacterized protein OS,-0.782,0.022
I6L8Y8,Uncharacterized protein OS,-0.785,0.003
Q8DTW5,Uncharacterized protein OS,-0.834,0.045
Q8DU76,Uncharacterized protein OS,-0.836,0.032
Q8DUX3,Uncharacterized protein OS,-0.849,0.008
Q8DWK9,Uncharacterized protein OS,-0.891,0.035
Q8DWC5,Uncharacterized protein OS,-0.975,0.042
Q8DT21,Uncharacterized protein OS,-1.056,0.011
Q8DW94,Uncharacterized protein OS,-1.061,0.047
Q8DT20,Uncharacterized protein OS,-1.173,0.009
Q8DWJ6,Uncharacterized protein OS,-1.199,0.049
Q8DUP2,Uncharacterized protein OS,-1.558,0.01
Q8DW70,Uncharacterized protein OS,-1.968,0.049
Q8DUE8,Uncharacterized protein OS,-2.154,0.027
Q8DSR7,Uncharacterized protein OS,-2.921,0.017
Q8DVI5,Uncharacterized protein OS,-3.107,0.024
Q8DS98,Uncharacterized protein OS,-3.824,0.009
Q8DSA4,Uncharacterized protein OS,-4.182,0.002
Q8DSR5,Uncharacterized protein OS,-4.413,0.03
Q8DSR6,Uncharacterized protein OS,-4.746,0.004
