Accession,Location
Q8DWG7,TM
Q8DVC2,TM
Q8DW27,SP
Q8DVV8,TM
Q8DSI3,GLOB
Q8DV27,SP
Q8DT98,GLOB
Q8DW89,GLOB
Q8DTW2,GLOB
Q8DW46,GLOB
Q8DTV3,GLOB
Q8DT82,GLOB
Q8DWN7,GLOB
Q8DSL6,GLOB
Q8DVE7,TM
Q8DSZ1,GLOB
Q8DVI6,TM
Q8DT15,GLOB
Q8DT89,GLOB
Q8DTF6,TM
Q8DW34,TM
Q8DSW4,TM
Q8DTC5,TM
Q8DVZ0,GLOB
Q8DVI7,TM
Q8DTU5,GLOB
Q8DUY7,GLOB
Q8DUY6,GLOB
Q8DUS0,TM
Q8DW48,TM
Q8DT94,GLOB
Q8DWI5,SP
Q8DSY9,GLOB
I6L909,GLOB
Q8DSY3,GLOB
Q8DVG9,GLOB
Q8DU43,GLOB
Q8DTA5,SP
Q8DV34,GLOB
