Query UniProt ID,AlphaFold Target Model,E-value,Bitscore,Source Database
Q8DUY0,AF-A0A660S8M7-F1-model_v4,1.437e-35,1920,results_afdb50.m8
Q8DTH6,AF-A0A1V5XFE9-F1-model_v4,3.014e-31,1688,results_afdb50.m8
Q8DW46,AF-A0A7X6VHV9-F1-model_v4,6.8410000000000004e-34,1644,results_afdb50.m8
Q8DSL6,AF-A0A564T927-F1-model_v4,2.053e-27,1485,results_afdb50.m8
Q8DRV8,AF-A0A4Q4ICP0-F1-model_v4,1.2530000000000001e-25,1482,results_afdb50.m8
Q8DT37,AF-O34921-F1-model_v4,2.102e-34,1426,results_afdb_swissprot.m8
Q8DWC5,AF-A0A1C5ICF3-F1-model_v4,2.4250000000000002e-30,1389,results_afdb50.m8
Q8DVS5,AF-A0A7X1RN45-F1-model_v4,1.394e-29,1296,results_afdb50.m8
P34001,AF-A0A417HPG4-F1-model_v4,6.736e-28,1285,results_afdb50.m8
Q8DV34,AF-A0A116QBT8-F1-model_v4,7.837e-23,1261,results_afdb50.m8
Q8DVL0,AF-R2PZC8-F1-model_v4,1.82e-29,1260,results_afdb50.m8
Q8DUW6,AF-A0A0Z8HG67-F1-model_v4,1.7310000000000001e-26,1248,results_afdb50.m8
Q8DT19,AF-Q8DT19-F1-model_v4,1.497e-21,1242,results_afdb50.m8
Q8DTF8,AF-A0A0U5P0B9-F1-model_v4,4.4360000000000005e-26,1207,results_afdb50.m8
Q8DUS0,AF-A0A2L0D300-F1-model_v4,2.585e-23,1176,results_afdb50.m8
Q8DVH0,AF-A0A419UW91-F1-model_v4,4.907e-27,1149,results_afdb50.m8
Q8DTC5,AF-E8KUK2-F1-model_v4,2.679e-23,1133,results_afdb50.m8
Q8DW28,AF-Q8DQA0-F1-model_v4,1.0469999999999998e-22,1121,results_afdb_proteome.m8
Q8DVI6,AF-A0A172Q590-F1-model_v4,5.587e-24,1117,results_afdb50.m8
Q8DWJ6,AF-A0A1X1FSZ0-F1-model_v4,6.365e-25,1097,results_afdb50.m8
Q8DTL4,AF-A0A1V5WEL2-F1-model_v4,2.087e-25,1093,results_afdb50.m8
Q8DUR0,AF-A0A3R8SF49-F1-model_v4,2.5110000000000002e-25,1087,results_afdb50.m8
Q8DVH9,AF-A0A1L7LKY8-F1-model_v4,1.329e-23,1075,results_afdb50.m8
Q8DVH1,AF-A0A6H0UQ49-F1-model_v4,2.246e-24,1059,results_afdb50.m8
Q8DU59,AF-A0A2I1UEG5-F1-model_v4,6.68e-25,1051,results_afdb50.m8
Q8DSF8,AF-Q8DNC5-F1-model_v4,1.963e-23,1050,results_afdb_proteome.m8
Q8DVG3,AF-A0A897MSF7-F1-model_v4,2.643e-24,1011,results_afdb50.m8
Q8DTB0,AF-A0A285BCW2-F1-model_v4,5.588e-23,991,results_afdb50.m8
Q8DTP0,AF-Q8DQA0-F1-model_v4,3.7910000000000005e-20,988,results_afdb_proteome.m8
Q8DT50,AF-A8Z2R1-F1-model_v4,4.598e-24,988,results_afdb_swissprot.m8
Q8DWA2,AF-Q5X9X0-F1-model_v4,1.238e-23,975,results_afdb_swissprot.m8
Q8DT65,AF-A0A077ZGA1-F1-model_v4,1.166e-23,971,results_afdb_proteome.m8
Q8DVT4,AF-A0A285XL33-F1-model_v4,8.555e-23,967,results_afdb50.m8
Q8DVA9,AF-Q5XB32-F1-model_v4,6.996e-24,966,results_afdb_swissprot.m8
Q8DV05,AF-A0A2T2WK89-F1-model_v4,2.169e-16,953,results_afdb50.m8
Q8DV84,AF-A0A841PXP3-F1-model_v4,3.4629999999999996e-22,945,results_afdb50.m8
Q8DT20,AF-A0A3P1VMH7-F1-model_v4,4.293e-21,930,results_afdb50.m8
I6L8Y8,AF-A0A6A8QQ97-F1-model_v4,1.14e-21,925,results_afdb50.m8
Q8DU08,AF-A0A348UZ54-F1-model_v4,7.178e-17,918,results_afdb50.m8
Q8DSY3,AF-A0A166U616-F1-model_v4,4.416e-20,914,results_afdb50.m8
Q8DUZ1,AF-A0A7C3JBU0-F1-model_v4,8.434e-18,912,results_afdb50.m8
Q8DUP2,AF-Q8DQF9-F1-model_v4,6.641000000000001e-20,899,results_afdb_proteome.m8
Q8DS09,AF-A0A0R2J7I2-F1-model_v4,2.758e-21,897,results_afdb50.m8
Q8DU02,AF-Q8DPM8-F1-model_v4,5.966e-15,891,results_afdb_proteome.m8
Q8DUM0,AF-A0A356BYC8-F1-model_v4,6.949e-21,872,results_afdb50.m8
Q8DV06,AF-A0A109RH21-F1-model_v4,2.18e-20,868,results_afdb50.m8
Q8DWI5,AF-A0A172Q899-F1-model_v4,7.696e-16,856,results_afdb50.m8
Q8DV93,AF-A0A2J9QFE5-F1-model_v4,9.751e-15,856,results_afdb50.m8
Q8DVP5,AF-Q8DQ66-F1-model_v4,6.42e-21,847,results_afdb_proteome.m8
Q8DV77,AF-A0A1I0SFU9-F1-model_v4,1.579e-16,846,results_afdb50.m8
Q8DRW0,AF-F8DFJ4-F1-model_v4,4.913e-16,842,results_afdb50.m8
Q8DT99,AF-P67274-F1-model_v4,1.1500000000000001e-20,840,results_afdb_swissprot.m8
Q8DUS7,AF-A0A380JGB8-F1-model_v4,2.16e-15,838,results_afdb50.m8
Q8DSI9,AF-A0A132ZFQ7-F1-model_v4,4.335e-20,835,results_afdb_proteome.m8
Q8DUU7,AF-A0A1S1EER8-F1-model_v4,4.825e-19,833,results_afdb50.m8
Q8DU45,AF-A0A033V6X7-F1-model_v4,8.666e-20,828,results_afdb50.m8
Q8DT79,AF-A0A1Y0L5H1-F1-model_v4,2.452e-17,826,results_afdb50.m8
