Accession,Description,Ratio,P-Value
Q8DWG7,Uncharacterized protein OS,3.656,0.0
Q8DVC2,Uncharacterized protein OS,2.398,0.011
Q8DW27,Uncharacterized protein OS,2.068,0.001
Q8DVV8,Uncharacterized protein OS,1.637,0.025
Q8DSI3,Uncharacterized protein OS,1.418,0.004
Q8DV27,Uncharacterized protein OS,1.389,0.003
Q8DT98,Uncharacterized protein OS,1.317,0.031
Q8DW89,Uncharacterized protein OS,1.305,0.023
Q8DTW2,Uncharacterized protein OS,1.188,0.008
Q8DW46,Uncharacterized protein OS,1.094,0.037
Q8DTV3,Uncharacterized protein OS,1.04,0.034
Q8DT82,Uncharacterized protein OS,1.03,0.025
Q8DWN7,Uncharacterized protein OS,0.962,0.026
Q8DSL6,Uncharacterized protein OS,0.949,0.004
Q8DVE7,Uncharacterized protein OS,0.917,0.009
Q8DSZ1,Uncharacterized protein OS,0.897,0.001
Q8DVI6,Uncharacterized protein OS,0.892,0.0
Q8DT15,Uncharacterized protein OS,0.892,0.037
Q8DT89,Uncharacterized protein OS,0.859,0.035
Q8DTF6,Uncharacterized protein OS,0.855,0.005
Q8DW34,Uncharacterized protein OS,0.84,0.028
Q8DSW4,Uncharacterized protein OS,0.82,0.047
Q8DTC5,Uncharacterized protein OS,0.804,0.017
Q8DVZ0,Uncharacterized protein OS,0.74,0.019
Q8DVI7,Uncharacterized protein OS,0.739,0.022
Q8DTU5,Uncharacterized protein OS,0.735,0.011
Q8DUY7,Uncharacterized protein OS,0.714,0.049
Q8DUY6,Uncharacterized protein OS,0.704,0.002
Q8DUS0,Uncharacterized protein OS,0.67,0.003
Q8DW48,Uncharacterized protein OS,0.635,0.002
Q8DT94,Uncharacterized protein OS,0.634,0.025
Q8DWI5,Uncharacterized protein OS,0.605,0.013
Q8DSY9,Uncharacterized protein OS,0.598,0.048
I6L909,Uncharacterized protein OS,0.594,0.019
Q8DSY3,Uncharacterized protein OS,0.523,0.032
Q8DVG9,Uncharacterized protein OS,0.52,0.006
Q8DU43,Uncharacterized protein OS,0.514,0.021
Q8DTA5,Uncharacterized protein OS,0.398,0.012
Q8DV34,Uncharacterized protein OS,0.317,0.011
