query,target,uniprot_id,bits,evalue,fident,database
Q8DUY0,AF-P71353-F1-model_v4,P71353,1848,9.692e-35,0.082,results_afdb_swissprot
Q8DW46,AF-Q2YXJ0-F1-model_v4,Q2YXJ0,1595,2.096e-33,0.086,results_afdb_swissprot
Q8DT37,AF-O34921-F1-model_v4,O34921,1426,2.102e-34,0.068,results_afdb_swissprot
Q8DRV8,AF-P96589-F1-model_v4,P96589,1378,2.966e-24,0.059,results_afdb_swissprot
Q8DWC5,AF-O34767-F1-model_v4,O34767,1357,3.494e-30,0.079,results_afdb_swissprot
Q8DUW6,AF-O34952-F1-model_v4,O34952,1219,2.0600000000000002e-26,0.094,results_afdb_swissprot
Q8DVL0,AF-P50840-F1-model_v4,P50840,1218,5.335e-29,0.085,results_afdb_swissprot
P34001,AF-O66043-F1-model_v4,O66043,1200,1.736e-26,0.077,results_afdb_swissprot
Q8DTH6,AF-O53900-F1-model_v4,O53900,1179,1.1160000000000001e-21,0.085,results_afdb_swissprot
Q8DVH0,AF-O32133-F1-model_v4,O32133,1116,8.726e-27,0.072,results_afdb_swissprot
Q8DVS5,AF-Q795R8-F1-model_v4,Q795R8,1110,1.4000000000000002e-25,0.045,results_afdb_swissprot
Q8DW28,AF-Q6GB09-F1-model_v4,Q6GB09,1041,5.547e-21,0.065,results_afdb_swissprot
Q8DT50,AF-A8Z2R1-F1-model_v4,A8Z2R1,988,4.598e-24,0.125,results_afdb_swissprot
Q8DTP0,AF-Q5HHG8-F1-model_v4,Q5HHG8,984,4.326e-20,0.059,results_afdb_swissprot
Q8DWA2,AF-Q5X9X0-F1-model_v4,Q5X9X0,975,1.238e-23,0.055,results_afdb_swissprot
Q8DVA9,AF-Q5XB32-F1-model_v4,Q5XB32,966,6.996e-24,0.05,results_afdb_swissprot
Q8DTC5,AF-O34659-F1-model_v4,O34659,963,4.968e-20,0.055,results_afdb_swissprot
Q8DT65,AF-C0SP91-F1-model_v4,C0SP91,952,3.426e-23,0.06,results_afdb_swissprot
Q8DSL6,AF-D4GQN8-F1-model_v4,D4GQN8,950,3.017e-17,0.077,results_afdb_swissprot
Q8DV05,AF-P39651-F1-model_v4,P39651,934,1.303e-16,0.095,results_afdb_swissprot
Q8DVH1,AF-O34470-F1-model_v4,O34470,918,2.1250000000000002e-21,0.061,results_afdb_swissprot
Q8DVG3,AF-C1FW05-F1-model_v4,C1FW05,906,4.0249999999999994e-22,0.082,results_afdb_swissprot
Q8DS09,AF-P96129-F1-model_v4,P96129,876,2.508e-21,0.095,results_afdb_swissprot
Q8DTF8,AF-O58050-F1-model_v4,O58050,861,1.706e-18,0.082,results_afdb_swissprot
Q8DV77,AF-P54459-F1-model_v4,P54459,843,4.661e-17,0.057,results_afdb_swissprot
Q8DT19,AF-O34784-F1-model_v4,O34784,842,2.052e-14,0.071,results_afdb_swissprot
Q8DUM0,AF-Q8XHH5-F1-model_v4,Q8XHH5,840,1.263e-20,0.092,results_afdb_swissprot
Q8DT99,AF-P67274-F1-model_v4,P67274,840,1.1500000000000001e-20,0.08,results_afdb_swissprot
Q8DV06,AF-Q5XD45-F1-model_v4,Q5XD45,839,3.1970000000000006e-20,0.059,results_afdb_swissprot
Q8DTL4,AF-B5UAT8-F1-model_v4,B5UAT8,830,2.68e-19,0.064,results_afdb_swissprot
Q8DVT4,AF-P73212-F1-model_v4,P73212,829,8.693000000000001e-20,0.06,results_afdb_swissprot
Q8DUP2,AF-O31710-F1-model_v4,O31710,826,3.635e-18,0.08,results_afdb_swissprot
Q8DUZ1,AF-Q4WAZ8-F1-model_v4,Q4WAZ8,815,3.048e-16,0.072,results_afdb_swissprot
I6L8Y8,AF-A4X3Q0-F1-model_v4,A4X3Q0,769,3.383e-18,0.102,results_afdb_swissprot
